iter	Passed	Remaining
0	162	162799
1	163	81799
2	165	54868
3	166	41528
4	167	33419
5	169	28024
6	170	24121
7	170	21186
8	171	18902
9	172	17078
10	173	15586
11	174	14342
12	175	13287
13	175	12386
14	177	11641
15	180	11078
16	181	10518
17	183	10035
18	185	9553
19	185	9113
20	187	8736
21	188	8386
22	189	8045
23	190	7737
24	191	7486
25	194	7274
26	195	7037
27	197	6843
28	197	6626
29	198	6424
30	199	6238
31	200	6068
32	202	5920
33	202	5766
34	205	5656
35	207	5548
36	208	5413
37	209	5298
38	210	5179
39	210	5063
40	211	4954
41	212	4847
42	213	4745
43	213	4648
44	214	4557
45	215	4475
46	216	4395
47	218	4329
48	220	4277
49	221	4201
50	222	4136
51	223	4069
52	224	4010
53	226	3963
54	227	3905
55	228	3844
56	228	3783
57	229	3725
58	230	3675
59	231	3629
60	233	3590
61	234	3548
62	235	3505
63	236	3460
64	237	3417
65	238	3373
66	239	3330
67	239	3287
68	240	3245
69	241	3204
70	242	3166
71	242	3128
72	243	3091
73	244	3055
74	244	3020
75	246	2992
76	248	2979
77	249	2950
78	250	2921
79	253	2912
80	254	2882
81	254	2853
82	255	2822
83	256	2801
84	258	2778
85	258	2750
86	259	2726
87	261	2710
88	263	2696
89	264	2675
90	265	2651
91	266	2628
92	267	2607
93	268	2583
94	269	2564
95	270	2546
96	271	2525
97	271	2502
98	272	2480
99	273	2463
100	275	2450
101	276	2433
102	278	2422
103	279	2406
104	280	2388
105	281	2370
106	281	2352
107	282	2333
108	283	2314
109	283	2297
110	284	2279
111	285	2261
112	285	2244
113	286	2227
114	287	2210
115	288	2198
116	289	2184
117	291	2177
118	292	2163
119	293	2150
120	294	2136
121	294	2121
122	295	2106
123	296	2092
124	296	2077
125	297	2063
126	297	2048
127	298	2034
128	299	2021
129	300	2008
130	300	1994
131	301	1981
132	301	1968
133	302	1958
134	304	1952
135	305	1942
136	307	1934
137	308	1925
138	309	1918
139	310	1907
140	311	1897
141	311	1884
142	313	1878
143	314	1868
144	315	1859
145	315	1847
146	317	1839
147	320	1842
148	321	1833
149	322	1829
150	323	1820
151	324	1810
152	325	1800
153	325	1790
154	326	1780
155	327	1771
156	328	1764
157	329	1756
158	330	1749
159	332	1744
160	333	1737
161	334	1730
162	335	1723
163	336	1715
164	337	1707
165	338	1699
166	338	1690
167	339	1681
168	340	1673
169	341	1665
170	341	1657
171	342	1648
172	343	1640
173	344	1634
174	347	1635
175	347	1629
176	349	1623
177	350	1620
178	351	1613
179	352	1605
180	353	1597
181	353	1590
182	354	1583
183	355	1578
184	356	1571
185	357	1564
186	359	1560
187	360	1558
188	361	1552
189	362	1547
190	363	1541
