iter	Passed	Remaining
0	2	213
1	4	241
2	7	238
3	9	219
4	11	220
5	14	225
6	16	215
7	18	214
8	21	213
9	22	205
10	24	197
11	26	191
12	28	187
13	29	183
14	31	179
15	35	183
16	38	185
17	39	181
18	41	178
19	43	174
20	45	170
21	46	166
22	50	168
23	52	164
24	53	161
25	55	158
26	57	154
27	58	151
28	60	148
29	62	146
30	64	143
31	66	141
32	68	138
33	70	136
34	71	133
35	74	132
36	76	130
37	79	128
38	80	126
39	82	124
40	84	122
41	85	118
42	87	116
43	89	113
44	91	111
45	93	109
46	95	107
47	97	105
48	98	102
49	100	100
50	102	98
51	105	97
52	106	94
53	110	94
54	111	91
55	113	89
56	116	87
57	118	85
58	120	83
59	125	83
60	132	84
61	133	82
62	135	79
63	139	78
64	144	77
65	146	75
66	147	72
67	149	70
68	151	68
69	155	66
70	156	64
71	158	61
72	160	59
73	161	56
74	163	54
75	165	52
76	166	49
77	169	47
78	172	45
79	173	43
80	175	41
81	178	39
82	180	36
83	181	34
84	184	32
85	186	30
86	188	28
87	189	25
88	191	23
89	193	21
90	194	19
91	196	17
92	198	14
93	200	12
94	202	10
95	203	8
96	205	6
97	207	4
98	208	2
99	210	0
